,Country,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2010_Users,2011_Users,2012_Users,2013_Users,2014_Users,2015_Users,2016_Users,2017_Users,2018_Users,2019_Users,2020_Users
31,Switzerland,603434000000.0,722038000000.0,692110000000.0,712748000000.0,734397000000.0,702150000000.0,695601000000.0,704479000000.0,735539000000.0,731767000000.0,752248000000.0,83.90000153,85.19303131,85.19999695,86.33999634,87.40000153,87.47905731,89.13468933,89.6861496,91.80000305,93.14608765,94.19999695
32,Chile,217105000000.0,251225000000.0,267176000000.0,277239000000.0,259405000000.0,242497000000.0,249299000000.0,276365000000.0,295403000000.0,278585000000.0,252727000000.0,45.0,52.24960709,55.04999924,58.0,61.11000061,76.6295929,83.55858612,82.32748413,84.90000153,86.09999847,88.30000305
33,China,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,11061600000000.0,11233300000000.0,12310400000000.0,13894800000000.0,14279900000000.0,14687700000000.0,34.29999924,38.29999924,42.30011749,45.79999924,47.90000153,50.29999924,53.20000076,54.29999924,59.20000076,64.10984039,70.40477753
34,Cote d'Ivoire,34936305297.0,36693712825.0,36302305578.0,42760237561.0,48843008580.0,45814637971.0,47964234560.0,51588158718.0,58011466451.0,58539424930.0,61348579465.0,2.700000048,2.900000095,4.400000095,6.599999905,10.0,16.70000076,25.29999924,34.79999924,37.54653549,36.28895569,
35,Cameroon,27507499709.0,30630912185.0,30155064574.0,33728622819.0,36386546918.0,32210232912.0,33814337900.0,36098550142.0,39973839065.0,39670977333.0,40804449726.0,4.300000191,5.0,7.5,10.0,16.21487236,18.29999924,20.60000038,23.20297241,29.70000076,33.5,37.79999924
36,Colombia,286563000000.0,334944000000.0,370921000000.0,382116000000.0,381112000000.0,293482000000.0,282825000000.0,311884000000.0,334198000000.0,323110000000.0,270300000000.0,36.5,40.350914,48.97999954,51.70000076,52.56999969,55.90497208,58.13649368,62.25988007,64.12637329,65.00689697,69.79000092
37,Comoros,907978723.5,1023086184.0,1015843369.0,1116224161.0,1149587652.0,966029542.0,1012835518.0,1077439663.0,1188797575.0,1195019559.0,1223876065.0,5.099999905,5.5,5.975296497,6.5,6.980000019,7.459161282,7.938322544,8.478170395,,,
38,Costa Rica,37658614803.0,42762617082.0,47231651863.0,50949672206.0,52016408951.0,56441917653.0,58847016045.0,60516043590.0,62420165100.0,64417670083.0,62158002233.0,36.5,39.21219635,47.5,45.95999908,53.0,59.7629509,65.88044739,71.58166504,73.4797287,81.20259857,80.53018951
39,Cuba,59562962963.0,68990000000.0,73141000000.0,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0,100050000000.0,103428000000.0,107352000000.0,15.89999962,16.01729012,21.20000076,27.93000031,29.07018471,37.30509567,42.97867584,57.14840317,62.67892456,67.97080994,74.0
40,Cayman Islands,4156990816.0,4186223865.0,4291158968.0,4405954696.0,4563017852.0,4708336756.0,4909498943.0,5166467287.0,5530377593.0,5943589096.0,5608989196.0,66.0,69.46594238,69.69999695,71.40000153,74.09999847,77.0,79.0,81.06769562,,,
41,Cyprus,25732432719.0,27565469098.0,24978513427.0,23900872626.0,23156850007.0,19842404305.0,20953442550.0,22870833710.0,25522671233.0,25758357775.0,24692095945.0,52.99000168,56.8598938,60.68986893,65.45480347,69.33000183,71.71574402,75.90020752,80.74318695,84.43358612,86.06362915,90.80194855
42,Germany,3399670000000.0,3749310000000.0,3527140000000.0,3733800000000.0,3889090000000.0,3357590000000.0,3469850000000.0,3690850000000.0,3977290000000.0,3888330000000.0,3846410000000.0,82.0,81.26999664,82.34999847,84.16999817,86.19000244,87.58979797,84.16520691,84.39415741,87.03710938,88.13451385,89.8129425
43,Djibouti,1128611700.0,1239144502.0,1353632942.0,2042817163.0,2214679081.0,2424391785.0,2604955229.0,2762581334.0,2913466732.0,3088853639.0,3181071154.0,6.5,7.0,9.399999619,12.69999981,17.0,22.89999962,30.79999924,55.68140793,58.0,59.0,59.0
44,Dominica,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037.0,576229629.6,521551851.9,554770370.4,611537037.0,504214814.8,47.45000076,48.59999847,49.79999924,51.0,57.5,65.0,67.02999878,69.61966705,,,
45,Denmark,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,302673000000.0,313116000000.0,332121000000.0,356841000000.0,347561000000.0,356085000000.0,88.72000122,89.81001282,92.26000977,94.62969971,95.98999786,96.33050537,96.9677887,97.09936523,97.31920624,98.0464325,96.54914856
46,Dominican Republic,53860175556.0,58029750746.0,60681537196.0,62682163837.0,67179914027.0,71164825257.0,75704720190.0,79997975622.0,85555378043.0,88941299734.0,78844702329.0,31.39999962,38.0,42.31999969,45.90000153,49.58000183,54.21576691,63.87086487,67.57124329,74.822052,75.80000305,76.90000153
47,Algeria,161207000000.0,200013000000.0,209059000000.0,209755000000.0,213810000000.0,165979000000.0,160034000000.0,170097000000.0,174911000000.0,171767000000.0,145009000000.0,12.5,14.89999962,18.20000076,22.5,29.5,38.20000076,42.94552612,47.6910553,49.03846741,57.90000153,62.90000153
48,Ecuador,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726000000.0,99290381000.0,99937696000.0,104296000000.0,107562000000.0,108108000000.0,99291124000.0,29.03000069,31.36680794,35.13514709,40.2791214,45.59038925,48.9404335,54.06292343,55.79999924,57.5,61.59999847,64.59999847
49,Spain,1422110000000.0,1480710000000.0,1324740000000.0,1355140000000.0,1371220000000.0,1195600000000.0,1232910000000.0,1312540000000.0,1420990000000.0,1393050000000.0,1281480000000.0,65.80000305,67.08999634,69.80999756,71.63500214,76.19000244,78.6896286,80.5613327,84.60224915,86.10723877,90.71866608,93.20565033
50,Estonia,19523477326.0,23213994093.0,23019150071.0,25115753366.0,26634083965.0,22890762090.0,24072829277.0,26924385103.0,30489500905.0,31045591753.0,30650285472.0,74.09999847,76.5,78.3899231,80.00430298,84.24153137,88.40970612,87.24023438,88.10245514,89.35700989,90.22892761,89.05828857
