Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hungary,65,68.01998901,70.58000183,72.64389801,75.65319824,72.83473969,79.25941467,76.75054932,76.07436371,80.37169647,84.77114868
Iceland,93.38999939,94.81968689,96.20980072,96.54679871,98.16000366,98.19999695,98.24001312,98.25520325,99.01095581,99,99
India,7.5,10.06999969,11.10000038,12.30000019,13.5,14.89999962,16.5,18.20000076,20.08130074,29.39999962,43
Indonesia,10.92000008,12.27999973,14.52000046,14.93999958,17.13999939,22.06274223,25.44735336,32.3358078,39.9046402,47.69064713,53.72649384
Iran,15.89999962,19,22.72999954,29.95000076,39.34999847,45.3349762,53.22677231,64.04397583,70.20056152,77.77083588,84.11087036
Iraq,2.5,5,7.099999905,9.199999809,13.21000004,16.79999924,37.66999817,41.93999863,43.29999924,60,
Ireland,69.84999847,74.8899765,76.91999054,78.24770355,83.49172211,83.49478912,83.5,84.11400604,87.00013733,87.00005341,91.99989319
Israel,67.5,68.87387848,70.80000305,70.25031281,75.0177536,77.35208893,79.65312195,81.58118439,83.7331543,86.78787994,90.12734222
Italy,53.68000031,54.38999939,55.82999802,58.45930099,55.63846207,58.14173508,61.32425308,63.0773468,74.38718414,76.09999847,70.48342896
Jamaica,27.67000008,37.43861389,33.79000092,37.09999847,40.40273666,42.22122192,44.36685562,55.07206726,68.21451569,,
Japan,78.20999908,79.0541153,79.49639893,88.21942902,89.10683441,91.05802917,93.182724,91.72654724,91.27999878,92.73040009,90.21945953
Jordan,27.20000076,34.90000153,37,41.40000153,46.20000076,54.22000122,56.15000153,64.5,66.09999847,,
Kazakhstan,31.60000038,50.59999847,61.90662766,63.30422592,66,70.82993317,74.58772278,76.42675018,78.90391541,81.87761688,85.94259644
Kenya,7.199999809,8.800000191,10.5,13,16.5,16.58785439,16.60000038,17.82710075,19.5,22.56511879,29.5
Kiribati,9.069999695,10,10.74679756,11.5,12.25,14.89999962,18.70000076,23.39999962,29.39999962,36.90000153,38
Kosovo,,,,,,,,83.89360046,89.44303131,,
Kuwait,61.40000153,65.76907349,70.44999695,75.45999908,78.69999695,82,85.59999847,97.99999237,99.59884644,99.54267883,99.10588074
Kyrgyzstan,16.29999924,17.5,19.79999924,23,28.29999924,30.24704361,34.5,38.19903946,42.79999924,51,
Laos,7,9,10.7476759,12.5,14.26000023,18.20000076,21.87000084,25.5104351,29.10000038,30.84000015,33.79999924
Latin America and Caribbean,34.70214081,39.33848953,43.15839767,46.22867584,48.77231598,54.3903656,57.52878571,62.3446312,65.43800354,68.72758484,73.68558502
Latvia,68.41999817,69.74995422,73.11994171,75.23439789,75.83000183,79.20058441,79.84209442,80.11407471,83.57717133,86.1354599,88.90000153
Lebanon,43.68000031,52,61.24978638,70.5,73,74,76.11000061,78.1807785,80.90000153,80.90000153,84.09999847
Lesotho,3.859999895,7,10,15,22,25,32.45385742,39,40.79999924,42.30173492,43
Liberia,2.299999952,2.5,2.599999905,3.200000048,5.409999847,10,15.69999981,16.29999924,18.89999962,22,25.60000038
