Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Europe & Central Asia,21025800000000.00,23314100000000.00,22462300000000.00,23481200000000.00,23811900000000.00,20513300000000.00,20453700000000.00,21680200000000.00,23224100000000.00,22941600000000.00,22133900000000.00
Ecuador,69555367000.00,79276664000.00,87924544000.00,95129659000.00,101726000000.00,99290381000.00,99937696000.00,104296000000.00,107562000000.00,108108000000.00,99291124000.00
"Egypt, Arab Rep.",218984000000.00,235990000000.00,279117000000.00,288434000000.00,305595000000.00,329367000000.00,332442000000.00,235734000000.00,249713000000.00,303081000000.00,365253000000.00
Euro area,12641300000000.00,13637400000000.00,12638200000000.00,13195400000000.00,13508900000000.00,11674400000000.00,11972500000000.00,12677700000000.00,13699400000000.00,13416100000000.00,13027300000000.00
Eritrea,1589515447.00,2065001626.00,nan,nan,nan,nan,nan,nan,nan,nan,nan
Spain,1422110000000.00,1480710000000.00,1324740000000.00,1355140000000.00,1371220000000.00,1195600000000.00,1232910000000.00,1312540000000.00,1420990000000.00,1393050000000.00,1281480000000.00
Estonia,19523477326.00,23213994093.00,23019150071.00,25115753366.00,26634083965.00,22890762090.00,24072829277.00,26924385103.00,30489500905.00,31045591753.00,30650285472.00
Ethiopia,29933790334.00,31952763089.00,43310721414.00,47648211133.00,55612228234.00,64589334979.00,74296618481.00,81770791971.00,84269348327.00,95912590628.00,107658000000.00
European Union,14557600000000.00,15759500000000.00,14636200000000.00,15299700000000.00,15652100000000.00,13551900000000.00,13893200000000.00,14766300000000.00,15978700000000.00,15691900000000.00,15300100000000.00
Fragile and conflict affected situations,1704880000000.00,1585690000000.00,1775660000000.00,1841570000000.00,2003050000000.00,1626310000000.00,1508060000000.00,1580890000000.00,1603270000000.00,1689420000000.00,1561510000000.00
Finland,249424000000.00,275604000000.00,258290000000.00,271362000000.00,274863000000.00,234534000000.00,240771000000.00,255648000000.00,275715000000.00,268508000000.00,271837000000.00
Fiji,3140508836.00,3774530616.00,3972012571.00,4190143206.00,4856963230.00,4682546863.00,4930204230.00,5353404422.00,5581371850.00,5496264766.00,4574413823.00
France,2645190000000.00,2865160000000.00,2683670000000.00,2811880000000.00,2855960000000.00,2439190000000.00,2472960000000.00,2595150000000.00,2790960000000.00,2728870000000.00,2630320000000.00
Faroe Islands,2322202664.00,2499152495.00,2414380665.00,2677296441.00,2901131403.00,2561824641.00,2804863556.00,2969876872.00,3180074747.00,3268839776.00,3240759989.00
"Micronesia, Fed. Sts.",296944100.00,311301600.00,327248700.00,317214400.00,319271200.00,316489900.00,332265200.00,366666800.00,401932300.00,412479413.40,407515928.00
