Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Malta,9035932122,9638916481,9462238211,10551661177,11626281387,11091434484,11668286795,13505056442,15301279478,15719500921,14917038504
Myanmar,37796052939,54118601975,58318677645,60572257122,63264892768,63045305229,60291736894,61449392056,67144725831,68697759361,78930257227
Middle East & North Africa (excluding high income),1580130000000,1633770000000,1757060000000,1616320000000,1592380000000,1430990000000,1467440000000,1455190000000,1380520000000,1391980000000,1263840000000
Montenegro,4143033276,4544516982,4087725813,4465771673,4593852089,4054728173,4376929572,4856602179,5506944403,5542201151,4780722122
Mongolia,7189481824,10409797649,12292770631,12582122604,12226514722,11619892396,11181350461,11480847745,13178094459,14206359007,13312981595
Mozambique,11104649065,14381552467,16350813487,16974314296,17716091057,15950979333,11936993087,13219079498,14845400593,15390031040,14028811072
Mauritania,5628878866,6764627666,6728208836,7223071177,6592537782,6166863960,6398747532,6800135962,7352533586,7889655284,7915985514
Mauritius,10003670690,11518393367,11668685524,12129642296,12803445934,11692287066,12232463656,13259351418,14181951059,14045808843,10926820603
Malawi,6959655571,8004000737,6028487929,5518880769,6047813437,6373212641,5433040160,8943543677,9880676219,11025370769,12172128470
Malaysia,255017000000,297952000000,314443000000,323277000000,338062000000,301355000000,301255000000,319112000000,358792000000,365276000000,337006000000
North America,16672900000000,17399400000000,18088700000000,18696300000000,19362800000000,19769200000000,20230000000000,21136000000000,22259700000000,23122000000000,22546000000000
Namibia,11431334447,12523402329,13042007432,12043276397,12435416060,11335179562,10721994677,12895153160,13682062249,12543203411,10562637376
New Caledonia,9364347372,10351442209,9659153061,10151385306,10635039739,8738205837,8724570250,9173668102,9846922416,9438130987,9435529927
Niger,7851191899,8772951262,9426913349,10224897935,10862944204,9683867894,10398862245,11185102400,12808660528,12916455161,13741378450
Nigeria,361457000000,404994000000,455502000000,508693000000,546676000000,486803000000,404650000000,375746000000,397190000000,448120000000,432294000000
Nicaragua,8758639096,9774307336,10532006608,10982979274,11880434071,12756706583,13286083645,13785909906,13025239912,12596636042,12586941393
Netherlands,847381000000,905271000000,838923000000,877173000000,892168000000,765573000000,784060000000,833870000000,914043000000,910194000000,913865000000
Norway,428757000000,498283000000,509506000000,522762000000,498410000000,385802000000,368827000000,398394000000,437000000000,404941000000,362198000000
Nepal,16002656434,21573862467,21703106502,22162208956,22731602970,24360795411,24524098185,28971589213,33111525872,34186190996,33433670512
Nauru,47564520.39,66055407.67,96927201.48,98491843.64,104654365.2,86529661.37,99723394.96,109359680.2,124021393.7,118724073.8,114626625.6
New Zealand,146518000000,168291000000,176207000000,190907000000,201313000000,178064000000,188838000000,206624000000,211953000000,213435000000,211735000000
OECD members,45256800000000,48684700000000,48636400000000,49291600000000,50304100000000,47434900000000,48354900000000,50468500000000,53389600000000,53898700000000,52333100000000
Oman,64993498049,77497529259,87408842653,89936020806,92699089727,78710793238,75128738622,80856697009,91505851756,88060858257,73971391417
Other small states,322471000000,396966000000,414202000000,432289000000,446285000000,369988000000,365902000000,398431000000,441995000000,432763000000,376519000000
Pakistan,177166000000,213587000000,224384000000,231219000000,244361000000,270556000000,313630000000,339206000000,356128000000,320909000000,300306000000
Panama,29440287600,34686224300,40429734400,45599994000,49921464400,54091713800,57907695400,62202725200,64929409200,66984427200,53977037000
Peru,147529000000,171762000000,192649000000,201175000000,200789000000,189805000000,191896000000,211007000000,222597000000,228323000000,201705000000
Philippines,208369000000,234217000000,261921000000,283903000000,297483000000,306446000000,318627000000,328481000000,346842000000,376823000000,361751000000
Palau,185943000,196911100,212397800,221117200,241669800,280457700,298300000,285300000,284700000,274200000,257700000
Papua New Guinea,14250755231,17984910502,21295659244,21261432791,23210682538,21723531173,20759069103,22742613554,24109509853,24751344561,24667052023
Poland,479834000000,528301000000,498524000000,521016000000,542477000000,477812000000,472630000000,526509000000,587412000000,597281000000,596624000000
Pre-demographic dividend,1050870000000,1220710000000,1328910000000,1455530000000,1530150000000,1322540000000,1214490000000,1293920000000,1322710000000,1393570000000,1309750000000
Puerto Rico,98381300000,100352000000,101565000000,102450000000,102446000000,103376000000,104337000000,103446000000,100925000000,104915000000,103138000000
Portugal,238113000000,245118000000,216224000000,226434000000,229902000000,199394000000,206426000000,221358000000,242313000000,239987000000,228539000000
Paraguay,27129301212,33737052170,33296438306,38651334288,40377987209,36211372703,36089550659,38997129474,40225448341,37925338329,35432178068
West Bank and Gaza,9681500000,11186100000,12208400000,13515500000,13989700000,13972400000,15405400000,16128000000,16276600000,17133500000,15531700000
Pacific island small states,6566253871,7712816560,8188147239,8498746217,9225908807,9020208144,9461610628,10217604992,10657544778,10644265612,9573379122
Post-demographic dividend,42694000000000,45861200000000,45793100000000,46252800000000,47173700000000,44611900000000,45620800000000,47559100000000,50409600000000,50901900000000,49529300000000
Qatar,125122000000,167775000000,186834000000,198728000000,206225000000,161740000000,151732000000,161099000000,183335000000,175838000000,144411000000
Romania,166309000000,183327000000,170636000000,190801000000,199959000000,177729000000,188129000000,211695000000,241457000000,249882000000,249511000000
Russian Federation,1524920000000,2045930000000,2208300000000,2292470000000,2059240000000,1363480000000,1276790000000,1574200000000,1657330000000,1693110000000,1488320000000
Rwanda,6121529488,6881379762,7650671477,7815975294,8234762201,8539424910,8690878328,9252834120,9642440646,10356327149,10184345442
South Asia,2060780000000,2274500000000,2300090000000,2359610000000,2584560000000,2699430000000,3005240000000,3426790000000,3527310000000,3648730000000,3482470000000
Saudi Arabia,528207000000,671239000000,735975000000,746647000000,756350000000,654270000000,644936000000,688586000000,816579000000,803616000000,703368000000
